City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,vilyuysk,63.7553,121.6247,265.37,96,80,2.68,RU,1698248912
285,constitucion,-35.3333,-72.4167,290.27,52,96,5.08,CL,1698248912
286,palanga,55.9175,21.0686,278.16,87,75,5.66,LT,1698248913
287,wamba,8.9333,8.6,303.36,56,94,2.09,NG,1698248914
288,udachny,66.4167,112.4,261.41,89,91,4.38,RU,1698248914
289,weno,7.4515,151.8468,299.12,100,40,0.0,FM,1698248915
290,mount pearl,47.5166,-52.7813,284.3,75,75,9.77,CA,1698248915
291,ji'an,27.1172,114.9793,294.25,77,97,4.58,CN,1698248916
292,iskateley,67.6803,53.1512,272.6,96,100,6.71,RU,1698248916
293,hanzhong,33.0728,107.0303,290.51,74,96,0.26,CN,1698248917
294,tongouson,5.0214,120.1328,301.58,70,12,0.6,PH,1698248917
295,mount gambier,-37.8333,140.7667,281.49,71,45,3.93,AU,1698248918
296,khadan khak,30.7477,67.7085,286.77,22,0,3.42,PK,1698248919
297,egilsstadir,65.2653,-14.3948,277.1,87,75,2.06,IS,1698248919
298,pont rouge,48.8833,-72.0825,282.31,98,100,1.47,CA,1698248920
299,qamdo,31.1667,97.2333,272.5,46,35,0.45,CN,1698248921
300,la mure,44.9026,5.7866,286.45,94,100,1.54,FR,1698248921
301,chipinge,-20.1883,32.6236,295.38,68,4,3.19,ZW,1698248922
302,koungheul,13.9833,-14.8,311.97,21,91,2.67,SN,1698248923
303,puerto madryn,-42.7692,-65.0385,295.06,20,1,6.18,AR,1698248771
304,horta,38.5333,-28.6333,293.95,96,75,10.29,PT,1698248924
305,goure,13.9835,10.2704,308.43,10,32,4.77,NE,1698248924
306,puerto armuelles,8.2833,-82.8667,301.14,84,100,0.45,PA,1698248925
307,katumba,-9.2333,33.6167,292.46,76,100,2.79,TZ,1698248925
308,cidreira,-30.1811,-50.2056,293.87,61,74,4.52,BR,1698248926
309,tandalti,13.0167,31.8667,309.42,21,23,3.02,SD,1698248927
310,labytnangi,66.6572,66.4183,264.87,89,95,3.92,RU,1698248928
311,kaa-khem,51.6833,94.7333,278.93,36,100,1.55,RU,1698248928
312,la'ie,21.6477,-157.9253,297.13,85,0,1.49,US,1698248929
313,pikeville,37.4793,-82.5188,296.66,32,0,2.06,US,1698248658
314,karema,-6.8205,30.4389,299.55,66,99,3.28,TZ,1698248930
315,prineville,44.2999,-120.8345,277.21,88,75,2.06,US,1698248930
316,twon-brass,4.3151,6.2418,299.84,80,100,3.52,NG,1698248931
317,klyuchi,52.2667,79.1667,283.86,49,100,8.05,RU,1698248931
318,kourou,5.1552,-52.6478,306.18,55,92,4.9,GF,1698248932
319,nabire,-3.3667,135.4833,298.18,91,100,1.43,ID,1698248932
320,kenai,60.5544,-151.2583,269.18,86,0,1.54,US,1698248933
321,kisangani,0.5167,25.2,298.95,74,52,0.16,CD,1698248934
322,mandan,46.8267,-100.8896,278.14,91,100,5.14,US,1698248934
323,tangalle,6.024,80.7911,298.24,86,42,2.29,LK,1698248936
324,bure,10.7,37.0667,288.37,91,98,2.01,ET,1698248937
325,assai,-23.3733,-50.8414,300.07,44,60,2.95,BR,1698248937
326,sisimiut,66.9395,-53.6735,271.23,67,100,4.54,GL,1698248938
327,palmer,42.1584,-72.3287,294.53,55,47,0.45,US,1698248939
328,siwa oasis,29.2041,25.5195,300.21,25,0,1.5,EG,1698248939
329,tolanaro,-25.0319,46.9987,294.19,88,40,4.63,MG,1698248940
330,tazovsky,67.4667,78.7,264.0,94,55,2.0,RU,1698248940
331,alice springs,-23.7,133.8833,287.9,26,0,3.6,AU,1698248941
332,hasaki,35.7333,140.8333,287.37,67,47,6.32,JP,1698248941
333,hammerfest,70.6634,23.6821,271.4,80,20,1.54,NO,1698248942
334,kardla,58.9978,22.7492,274.14,64,20,6.17,EE,1698248942
335,quelimane,-17.8786,36.8883,299.77,76,0,4.28,MZ,1698248943
